localidade,region,total_effort_minutes,total_effort_hours,total_positive_detections,total_weighted_score,shoreline_extent_m,shoreline_units_100m,total_dpue,total_raiw
NAUFRAGIO DO LILI,REBIO,34,0.5666666666666667,12,1.2000000000000002,93.052,0.93052,22.757673761160742,2.2757673761160744
PEDRA DO ELEFANTE,REBIO,86,1.4333333333333333,10,2.78,265.827,2.65827,6.126433464514246,1.9728190568624384
ENGENHO,NEAR_REBIO,364,6.066666666666666,72,31.26,430.834,4.30834,5.815368811953152,2.495962541530515
VIDAL,NEAR_REBIO,323,5.383333333333333,16,5.58,391.929,3.9192899999999997,2.696976777353137,0.9087544531797025
RANCHO NORTE,REBIO,216,3.6,20,5.58,702.405,7.02405,1.6045259174223232,0.4320291846718908
DESERTA SUL,REBIO,188,3.1333333333333333,8,1.06,430.746,4.30746,1.0212461594761615,0.1325584300688825
FAROL,NEAR_REBIO,443,7.383333333333334,12,3.86,561.107,5.61107,0.821083220351901,0.24538003888385967
ENSEADA DO LILI,REBIO,225,3.75,6,0.48,634.057,6.3405700000000005,0.5369272223020684,0.04352649852603022
SAQUINHO DAGUA,REBIO,110,1.8333333333333333,2,0.08,289.082,2.8908199999999997,0.3773701202112518,0.015094804808450074
COSTAO DO SACO DAGUA,REBIO,309,5.1499999999999995,6,3.54,433.933,4.33933,0.3203170512409496,0.18898706023216028
SACO DO BATISMO,NEAR_REBIO,381,6.35,3,0.24000000000000002,413.894,4.13894,0.2825977599128746,0.021301472657583663
BAIA DAS TARTARUGAS,NEAR_REBIO,228,3.8,2,0.64,470.878,4.70878,0.23391393850685716,0.06106384921021114
DESERTA NORTE,REBIO,243,4.05,1,0.04,529.261,5.29261,0.07818318437373543,0.0031273273749494175
SACO DO CAPIM,NEAR_REBIO,308,5.133333333333333,1,0.04,539.427,5.394270000000001,0.0628413206694247,0.0025136528267769884
LETREIRO,REBIO,389,6.483333333333333,1,0.04,471.629,4.71629,0.05809070323065928,0.0023236281292263712
